127.0.0.1 - - [29/Dec/2022:09:38:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:38:50 +0900] "GET /JSP6/jsp3/cookieTest.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [29/Dec/2022:09:38:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:12:01 +0900] "GET /JSP6/jsp3/cookieTest.jsp HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:12:05 +0900] "GET /JSP6/jsp3/cookieSet.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:12:07 +0900] "GET /JSP6/jsp3/cookieTest.jsp HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:40:23 +0900] "GET /JSP6/jsp3/cookieTest.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:40:24 +0900] "GET /JSP6/jsp3/cookieSet.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:40:26 +0900] "GET /JSP6/jsp3/cookieTest.jsp HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:40:28 +0900] "GET /JSP6/jsp3/cookieDel.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:40:29 +0900] "GET /JSP6/jsp3/cookieTest.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:54:08 +0900] "GET /JSP6/jsp3/cookieForm.jsp HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:54:13 +0900] "GET /JSP6/jsp3/cookieLangSet.jsp?language=kor HTTP/1.1" 500 3068
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:56:20 +0900] "GET /JSP6/jsp3/cookieForm.jsp HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:56:22 +0900] "GET /JSP6/jsp3/cookieLangSet.jsp?language=kor HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:56:22 +0900] "GET /JSP6/jsp3/cookieForm.jsp HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:56:24 +0900] "GET /JSP6/jsp3/cookieLangSet.jsp?language=eng HTTP/1.1" 500 2938
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:57:57 +0900] "GET /JSP6/jsp3/cookieForm.jsp HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:58:00 +0900] "GET /JSP6/jsp3/cookieLangSet.jsp?language=kor HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:58:00 +0900] "GET /JSP6/jsp3/cookieForm.jsp HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:58:02 +0900] "GET /JSP6/jsp3/cookieLangSet.jsp?language=eng HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:58:02 +0900] "GET /JSP6/jsp3/cookieForm.jsp HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:58:09 +0900] "GET /JSP6/jsp3/cookieLangSet.jsp?language=kor HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [29/Dec/2022:10:58:09 +0900] "GET /JSP6/jsp3/cookieForm.jsp HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [29/Dec/2022:11:00:21 +0900] "GET /JSP6/jsp3/cookieForm.jsp HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [29/Dec/2022:11:00:25 +0900] "GET /JSP6/jsp3/cookieLangSet.jsp?language=kor HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [29/Dec/2022:11:00:25 +0900] "GET /JSP6/jsp3/cookieForm.jsp HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [29/Dec/2022:11:00:26 +0900] "GET /JSP6/jsp3/cookieLangSet.jsp?language=eng HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [29/Dec/2022:11:00:26 +0900] "GET /JSP6/jsp3/cookieForm.jsp HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [29/Dec/2022:11:13:24 +0900] "GET /JSP6/jsp3/cookieLangSet.jsp?language=kor HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [29/Dec/2022:11:13:24 +0900] "GET /JSP6/jsp3/cookieForm.jsp HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [29/Dec/2022:11:17:40 +0900] "GET /JSP6/jsp3/cookieForm.jsp HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [29/Dec/2022:11:26:27 +0900] "GET /JSP6/jsp3/cookieForm.jsp HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [29/Dec/2022:11:26:28 +0900] "GET /JSP6/jsp3/cookieForm.jsp HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [29/Dec/2022:11:26:30 +0900] "POST /JSP6/jsp3/cookieLangSet.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [29/Dec/2022:11:26:30 +0900] "GET /JSP6/jsp3/cookieForm.jsp HTTP/1.1" 200 603
