127.0.0.1 - - [11/Jan/2023:14:04:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:04:46 +0900] "GET /JSP6/board/content.jsp HTTP/1.1" 500 2600
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:04:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:05:15 +0900] "GET /JSP6/board/content.jsp HTTP/1.1" 500 2573
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:05:19 +0900] "GET /JSP6/board/content.jsp HTTP/1.1" 500 2573
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:05:21 +0900] "GET /JSP6/board/content.jsp HTTP/1.1" 500 2573
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:05:21 +0900] "GET /JSP6/board/content.jsp HTTP/1.1" 500 2573
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:05:22 +0900] "GET /JSP6/board/content.jsp HTTP/1.1" 500 2573
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:06:50 +0900] "GET /JSP6/board/boardList.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:22:39 +0900] "GET /JSP6/board/boardList.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:22:41 +0900] "GET /JSP6/board/content.jsp?bno=11&pageNum=1 HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:22:43 +0900] "GET /JSP6/board/updateForm.jsp?bno=11&pageNum=1 HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:23:01 +0900] "GET /JSP6/board/updateForm.jsp?bno=11&pageNum=1 HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:23:02 +0900] "GET /JSP6/board/updateForm.jsp?bno=11&pageNum=1 HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:23:02 +0900] "GET /JSP6/board/updateForm.jsp?bno=11&pageNum=1 HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:43:01 +0900] "GET /JSP6/board/updateForm.jsp?bno=11&pageNum=1 HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:43:02 +0900] "POST /JSP6/board/updatePro.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:35:42 +0900] "GET /JSP6/board/content.jsp?bno=11&pageNum=1 HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:35:43 +0900] "GET /JSP6/board/boardList.jsp?pageNum=1 HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:35:45 +0900] "GET /JSP6/board/boardList.jsp?pageNum=3 HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:35:46 +0900] "GET /JSP6/board/content.jsp?bno=6&pageNum=3 HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:35:50 +0900] "GET /JSP6/board/boardList.jsp?pageNum=3 HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:35:52 +0900] "GET /JSP6/board/boardList.jsp?pageNum=2 HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:35:53 +0900] "GET /JSP6/board/content.jsp?bno=8&pageNum=2 HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:35:55 +0900] "GET /JSP6/board/updateForm.jsp?bno=8&pageNum=2 HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:36:12 +0900] "POST /JSP6/board/updatePro.jsp HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:36:38 +0900] "POST /JSP6/board/updatePro.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:36:39 +0900] "GET /JSP6/board/boardList.jsp HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [11/Jan/2023:15:36:44 +0900] "GET /JSP6/board/boardList.jsp?pageNum=2 HTTP/1.1" 200 1131
