127.0.0.1 - - [09/Mar/2023:09:21:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:21:07 +0900] "GET /Model2/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:21:07 +0900] "GET /Model2/Main.me HTTP/1.1" 200 4199
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:21:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:21:14 +0900] "GET /Model2/MemberLogin.me HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:21:19 +0900] "POST /Model2/MemberLoginAction.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:21:19 +0900] "GET /Model2/Main.me HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:21:21 +0900] "GET /Model2/AdminGoodsList.ag HTTP/1.1" 200 9029
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:26:50 +0900] "GET /Model2/AdminGoodsList.ag HTTP/1.1" 200 9029
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:26:57 +0900] "GET /Model2/AdminGoodsUpdate.ag?gno=3 HTTP/1.1" 200 4609
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:27:14 +0900] "GET /Model2/AdminOrderList.ao HTTP/1.1" 200 5961
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:27:20 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-9 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:24:30 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-9 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:24:30 +0900] "GET /Model2/MemberLogin.me HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:31:01 +0900] "POST /Model2/MemberLoginAction.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:31:01 +0900] "GET /Model2/Main.me HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:31:02 +0900] "GET /Model2/Main.me HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:31:02 +0900] "GET /Model2/Main.me HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:31:02 +0900] "GET /Model2/Main.me HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:31:03 +0900] "GET /Model2/Main.me HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:31:03 +0900] "GET /Model2/Main.me HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:31:03 +0900] "GET /Model2/Main.me HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:31:03 +0900] "GET /Model2/Main.me HTTP/1.1" 200 4348
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:31:03 +0900] "GET /Model2/AdminGoodsList.ag HTTP/1.1" 200 9029
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:31:04 +0900] "GET /Model2/AdminOrderList.ao HTTP/1.1" 200 5961
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:31:06 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-9 HTTP/1.1" 200 4891
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:32:59 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-9 HTTP/1.1" 200 4607
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:36:40 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-9 HTTP/1.1" 200 4607
0:0:0:0:0:0:0:1 - - [09/Mar/2023:10:36:41 +0900] "GET /Model2/AdminOrderDetail.ao?trade_num=20230302-9 HTTP/1.1" 200 4607
